imobiliaria,link,data_coleta,titulo,endereco,bairro,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/08265001/apartamento-3-quartos-flamboyant-(conjunto-residencial)-agua-verde-curitiba/,2023-11-05,Apartamento 3 Quartos Agua Verde 117m²,"Avenida Presidente Kennedy, 1503, Agua Verde - Curitiba/Pr",Agua Verde,Aluguel,1800,850,89,3,1,117m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/14297001/apartamento-2-quartos-olga-tufi-agua-verde-curitiba/,2023-11-05,Apartamento 2 Quartos Água Verde 57m²,"Avenida Silva Jardim, 1762, Água Verde - Curitiba/Pr",Água Verde,Aluguel,1550,650,85,2,1,57m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16604001/apartamento-2-quartos-auckland-devon-port-agua-verde-curitiba/,2023-11-05,Apartamento 2 Quartos Água Verde 100m²,"Avenida Silva Jardim, 2522, Água Verde - Curitiba/Pr",Água Verde,Aluguel,3450,860,296,2,1,100m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16603001/apartamento-3-quartos-edificio-vitoria-regia-agua-verde-curitiba/,2023-11-05,Apartamento 3 Quartos Água Verde 110m²,"Rua Amazonas, 818, Água Verde - Curitiba/Pr",Água Verde,Aluguel,2600,630,150,3,2,110m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/92154003/apartamento-3-quartos-barigui-campo-comprido-curitiba/,2023-11-05,Apartamento 3 Quartos Campo Comprido 50m²,"Rua Luiz Ronaldo Canalli, 3294, Campo Comprido - Curitiba/Pr",Campo Comprido,Aluguel,850,420,25,3,1,50m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16608001/apartamento-1-quarto-residence-ville-de-france-campo-comprido-curitiba/,2023-11-05,Apartamento 1 Quarto Campo Comprido 65m²,"Rua Lourenço Bizinelli, 249, Campo Comprido - Curitiba/Pr",Campo Comprido,Aluguel,2450,471,78,1,2,65m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/23813001/apartamento-3-quartos-fit-marumbi-guaira-curitiba/,2023-11-05,Apartamento 3 Quartos Guaira 68m²,"Rua Assis Figueiredo, 1315, Guaira - Curitiba/Pr",Guaira,Aluguel,1950,450,104,3,1,68m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15489002/apartamento-3-quartos-vila-bela-1-novo-mundo-curitiba/,2023-11-05,Apartamento 3 Quartos Novo Mundo 73m²,"Rua Deputado Waldemiro Pedroso, 1063, Novo Mundo - Curitiba/Pr",Novo Mundo,Aluguel,1650,545,0,3,1,73m²,1
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/92315001/apartamento-2-quartos-roma-novo-mundo-curitiba/,2023-11-05,Apartamento 2 Quartos Novo Mundo 51m²,"Rua Jose Palu, 285, Novo Mundo - Curitiba/Pr",Novo Mundo,Aluguel,1400,450,52,2,1,51m²,0
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/10145001/apartamento-3-quartos-nho–quim-novo-mundo-curitiba/,2023-11-05,Apartamento 3 Quartos Novo Mundo 78m²,"Rua Luiz Leopoldo Landal, 100, Novo Mundo - Curitiba/Pr",Novo Mundo,Aluguel,1600,590,84,3,1,78m²,0
