imobiliaria,link,data_coleta,titulo,endereco,bairro,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites,data_entrada,data_saida,anuncio
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/07002001/apartamento-3-quartos-colina-ecoville-(conj-residencial)-campina-do-siqueira-curitiba/,2023-11-12,Apartamento 3 Quartos Campina Do Siqueira 65m²,"Rua Professor Pedro Viriato P Souza, 1900, Campina Do Siqueira - Curitiba/Pr",Campina Do Siqueira,Aluguel,2100,550,73,3,1,65m²,1,2023-11-05,2023-11-12,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16602001/apartamento-3-quartos-ilha-de-maraca-bigorrilho-curitiba/,2023-11-14,Apartamento 3 Quartos Bigorrilho 83m²,"Rua Coronel Joaquim Ignácio Taborda Ribas, 474, Bigorrilho - Curitiba/Pr",Bigorrilho,Aluguel,2500,542,153,3,1,83m²,1,2023-11-05,2023-11-14,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16603001/apartamento-3-quartos-edificio-vitoria-regia-agua-verde-curitiba/,2023-11-20,Apartamento 3 Quartos Água Verde 110m²,"Rua Amazonas, 818, Água Verde - Curitiba/Pr",Água Verde,Aluguel,2400,630,150,3,2,110m²,1,2023-11-05,2023-11-20,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/23813001/apartamento-3-quartos-fit-marumbi-guaira-curitiba/,2023-11-20,Apartamento 3 Quartos Guaira 68m²,"Rua Assis Figueiredo, 1315, Guaira - Curitiba/Pr",Guaira,Aluguel,1950,450,104,3,1,68m²,1,2023-11-05,2023-11-20,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/06075003/apartamento-1-quarto-mackenzie-residence-centro-curitiba/,2023-11-20,Apartamento 1 Quarto Centro 32m²,"Alameda Augusto Stellfeld, 1140, Centro - Curitiba/Pr",Centro,Aluguel,1150,400,27,1,0,32m²,0,2023-11-05,2023-11-20,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/49118001/apartamento-1-quarto-diamant-cristo-rei-curitiba/,2023-11-20,Apartamento 1 Quarto Cristo Rei 21m²,"Rua Atilio Borio, 145, Cristo Rei - Curitiba/Pr",Cristo Rei,Aluguel,820,400,36,1,0,21m²,1,2023-11-05,2023-11-20,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15537001/apartamento-2-quartos-soleil-curitibano-vila-izabel-curitiba/,2023-11-21,Apartamento 2 Quartos Vila Izabel 70m²,"Rua Eurides Cunha, 85, Vila Izabel - Curitiba/Pr",Vila Izabel,Aluguel,3000,560,147,2,1,70m²,1,2023-11-05,2023-11-21,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16623001/apartamento-2-quartos-edificio-paul-van-limburg-capao-raso-curitiba/,2023-11-22,Apartamento 2 Quartos Capao Raso 66m²,"Rua Domingos Gabardo, 117, Capao Raso - Curitiba/Pr",Capao Raso,Aluguel,1900,536,82,2,1,66m²,1,2023-11-13,2023-11-22,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16270001/apartamento-2-quartos-residencial-atenas-i-i-–-condominio-v-i-i-cidade-industrial-curitiba/,2023-11-23,Apartamento 2 Quartos Cidade Industrial 45m²,"Rua Deputado Gabriel Sampaio, 465, Cidade Industrial - Curitiba/Pr",Cidade Industrial,Aluguel,900,250,25,2,0,45m²,0,2023-11-05,2023-11-23,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/11310001/apartamento-2-quartos-residencial-vega-vila-izabel-curitiba/,2023-11-23,Apartamento 2 Quartos Vila Izabel 60m²,"Rua Professor Dario Velloso, 361, Vila Izabel - Curitiba/Pr",Vila Izabel,Aluguel,1750,600,90,2,1,60m²,1,2023-11-06,2023-11-23,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/14800001/apartamento-2-quartos-cidade-de-novara-campo-de-santana-curitiba/,2023-11-26,Apartamento 2 Quartos Campo De Santana 41m²,"Rua Ângelo Tozim, 1231, Campo De Santana - Curitiba/Pr",Campo De Santana,Aluguel,600,380,20,2,1,41m²,0,2023-11-05,2023-11-26,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/12485001/apartamento-3-quartos-renascence-santa-candida-santa-candida-curitiba/,2023-11-27,Apartamento 3 Quartos Santa Candida 69m²,"Rua Maximo Joao Kopp, 345, Santa Candida - Curitiba/Pr",Santa Candida,Aluguel,1700,450,58,3,2,69m²,1,2023-11-05,2023-11-27,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/91428003/apartamento-1-quarto-residencial-jordania-–-xxxi-cajuru-curitiba/,2023-11-27,Apartamento 1 Quarto Cajuru 27m²,"Rua Jordânia, 859, Cajuru - Curitiba/Pr",Cajuru,Aluguel,880,230,31,1,0,27m²,0,2023-11-05,2023-11-27,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/06077005/apartamento-2-quartos-cajuru-curitiba/,2023-11-27,Apartamento 2 Quartos Cajuru 65m²,"Rua Capitao Guilherme Bianchi, 1329, Cajuru - Curitiba/Pr",Cajuru,Aluguel,1100,35,40,2,1,65m²,0,2023-11-22,2023-11-27,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/15633001/apartamento-2-quartos-magno-agua-verde-agua-verde-curitiba/,2023-11-27,Apartamento 2 Quartos Agua Verde 73m²,"Travessa Rafael Francisco Greca, 173, Agua Verde - Curitiba/Pr",Agua Verde,Aluguel,2300,450,131,2,1,73m²,1,2023-11-22,2023-11-27,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16620001/apartamento-2-quartos-condominio-next-home-portao-curitiba/,2023-11-27,Apartamento 2 Quartos Portão 51m²,"Avenida República Argentina, 2524, Portão - Curitiba/Pr",Portão,Aluguel,2000,400,128,2,1,51m²,0,2023-11-09,2023-11-27,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/66997001/apartamento-3-quartos-beta-centauri-bigorrilho-curitiba/,2023-11-27,Apartamento 3 Quartos Bigorrilho 90m²,"Alameda Doutor Carlos De Carvalho, 1497, Bigorrilho - Curitiba/Pr",Bigorrilho,Aluguel,1690,713,106,3,1,90m²,1,2023-11-27,2023-11-27,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/16149001/apartamento-2-quartos-marechal-candido-rondon-cidade-industrial-curitiba/,2023-11-28,Apartamento 2 Quartos Cidade Industrial 41m²,"Rua Professor Algacyr Munhoz Mader, 2411, Cidade Industrial - Curitiba/Pr",Cidade Industrial,Aluguel,1100,350,25,2,1,41m²,0,2023-11-27,2023-11-28,Inativo
gonzaga_imoveis,https://gonzagaimoveis.com.br/imovel/92290001/apartamento-2-quartos-botanica-cristo-rei-curitiba/,2023-11-28,Apartamento 2 Quartos Cristo Rei 113m²,"Rua Coronel Pedro Scherer Sobrinho, 152, Cristo Rei - Curitiba/Pr",Cristo Rei,Aluguel,4800,700,332,2,2,113m²,2,2023-11-05,2023-11-28,Inativo
