link,titulo,endereco,tipo_locacao,preco_aluguel,preco_condominio,preco_iptu,quartos,vagas_garagem,area,suites, imobiliaria,data_coleta,imobiliaria
https://gonzagaimoveis.com.br/imovel/23604001/apartamento-3-quartos-iguaçu-v-portao-curitiba/,Apartamento 3 Quartos Portao 40m²,"Rua Miguel Abrao, 610, Portao - Curitiba/Pr",Aluguel,"R$ 1.200,00","Condomínio R$ 450,00","IPTU R$ 42,39",3,1.0,40m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/11722002/apartamento-3-quartos-niepce-da-silva-portao-curitiba/,Apartamento 3 Quartos Portao 78m²,"Rua Engenheiro Niepce Da Silva, 510, Portao - Curitiba/Pr",Aluguel,"R$ 1.500,00","Condomínio R$ 550,00","IPTU R$ 56,69",3,1.0,78m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16475001/apartamento-2-quartos-zodiaco-portao-curitiba/,Apartamento 2 Quartos Portão 71m²,"Avenida República Argentina, 2777, Portão - Curitiba/Pr",Aluguel,"R$ 1.800,00","Condomínio R$ 628,96","IPTU R$ 109,48",2,1.0,71m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16556001/apartamento-2-quartos-portao-curitiba/,Apartamento 2 Quartos Portão 49m²,"Rua Álvaro Andrade, 225, Portão - Curitiba/Pr",Aluguel,"R$ 2.490,00","Condomínio R$ 523,00","IPTU R$ 96,44",2,1.0,49m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/13603001/apartamento-2-quartos-belmont-portao-curitiba/,Apartamento 2 Quartos Portao 53m²,"Rua Antonio Pietruza, 211, Portao - Curitiba/Pr",Aluguel,"R$ 1.650,00","Condomínio R$ 650,00","IPTU R$ 75,94",2,1.0,53m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16592001/apartamento-2-quartos-edificio-michelle-portao-curitiba/,Apartamento 2 Quartos Portão 53m²,"Rua Zacarias De Paula Neves, 65, Portão - Curitiba/Pr",Aluguel,"R$ 1.480,00","Condomínio R$ 497,00","IPTU R$ 74,73",2,1.0,53m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/42292001/apartamento-3-quartos-valparaiso-portao-curitiba/,Apartamento 3 Quartos Portao 124m²,"Rua Engenheiro Arthur Bettes, 58, Portao - Curitiba/Pr",Aluguel,"R$ 2.200,00","Condomínio R$ 900,00","IPTU R$ 151,73",3,1.0,124m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/14480001/apartamento-2-quartos-spazio-castel-di-bettega-portao-curitiba/,Apartamento 2 Quartos Portao 55m²,"Rua João Bettega, 644, Portao - Curitiba/Pr",Aluguel,"R$ 1.500,00","Condomínio R$ 450,00","IPTU R$ 53,98",2,1.0,55m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/10518001/apartamento-1-quarto-sessimbra-portao-curitiba/,Apartamento 1 Quarto Portao 32m²,"Rua Arion Niepce Da Silva, 261, Portao - Curitiba/Pr",Aluguel,"R$ 1.200,00","Condomínio R$ 400,00","IPTU R$ 45,38",1,0.0,32m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/13239001/apartamento-2-quartos-regents-park-portao-curitiba/,Apartamento 2 Quartos Portão 83m²,"Rua Eduardo Carlos Pereira, 4049, Portão - Curitiba/Pr",Aluguel,"R$ 2.500,00","Condomínio R$ 500,00","IPTU R$ 133,35",2,1.0,83m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16583001/apartamento-2-quartos-porto-principe-vila-izabel-curitiba/,Apartamento 2 Quartos Vila Izabel 70m²,"Rua Tabajaras, 1241, Vila Izabel - Curitiba/Pr",Aluguel,"R$ 1.690,00","Condomínio R$ 360,00","IPTU R$ 93,22",2,1.0,70m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/15537001/apartamento-2-quartos-soleil-curitibano-vila-izabel-curitiba/,Apartamento 2 Quartos Vila Izabel 70m²,"Rua Eurides Cunha, 85, Vila Izabel - Curitiba/Pr",Aluguel,"R$ 3.200,00","Condomínio R$ 560,00","IPTU R$ 147,98",2,1.0,70m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/12831015/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,Apartamento 1 Quarto Alto Da Gloria 37m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Aluguel,"R$ 1.550,00","Condomínio R$ 200,00","IPTU R$ 39,30",1,0.0,37m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/12831012/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,Apartamento 1 Quarto Alto Da Gloria 35m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Aluguel,"R$ 1.550,00","Condomínio R$ 200,00","IPTU R$ 39,30",1,0.0,35m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/12831013/apartamento-1-quarto-itupava_-dona-dulce-alto-da-gloria-curitiba/,Apartamento 1 Quarto Alto Da Gloria 37m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Aluguel,"R$ 1.550,00","Condomínio R$ 200,00","IPTU R$ 39,30",1,0.0,37m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/12831021/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,Apartamento 1 Quarto Alto Da Gloria 40m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Aluguel,"R$ 1.550,00","Condomínio R$ 200,00","IPTU R$ 39,30",1,0.0,40m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/12831008/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,Apartamento 1 Quarto Alto Da Gloria 37m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Aluguel,"R$ 1.550,00","Condomínio R$ 200,00","IPTU R$ 39,30",1,0.0,37m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/12831026/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,Apartamento 1 Quarto Alto Da Gloria 37m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Aluguel,"R$ 1.500,00","Condomínio R$ 170,00","IPTU R$ 39,30",1,0.0,37m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/12831014/apartamento-1-quarto-itupava-alto-da-gloria-curitiba/,Apartamento 1 Quarto Alto Da Gloria 37m²,"Rua Itupava, 131, Alto Da Gloria - Curitiba/Pr",Aluguel,"R$ 1.500,00","Condomínio R$ 170,00","IPTU R$ 39,30",1,0.0,37m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/12643019/apartamento-3-quartos-kalina-alto-da-rua-xv-curitiba/,Apartamento 3 Quartos Alto Da Rua Xv 149m²,"Rua Jose De Alencar, 1199, Alto Da Rua Xv - Curitiba/Pr",Aluguel,"R$ 2.300,00","Condomínio R$ 450,00","IPTU R$ 151,60",3,1.0,149m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/07184001/apartamento-1-quarto-victoria-place-residence-alto-da-rua-xv-curitiba/,Apartamento 1 Quarto Alto Da Rua Xv 85m²,"Rua Ubaldino Do Amaral, 337, Alto Da Rua Xv - Curitiba/Pr",Aluguel,"R$ 1.500,00","Condomínio R$ 750,00","IPTU R$ 58,76",1,0.0,85m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/07544002/apartamento-3-quartos-residencial-cosmos-–-edificio-newton-alto-da-rua-xv-curitiba/,Apartamento 3 Quartos Alto Da Rua Xv 110m²,"Rua Schiller, 555, Alto Da Rua Xv - Curitiba/Pr",Aluguel,"R$ 1.600,00","Condomínio R$ 850,00","IPTU R$ 119,73",3,1.0,110m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/14967001/apartamento-4-quartos-solar-das-araucarias-batel-curitiba/,Apartamento 4 Quartos Batel 202m²,"Avenida Sete De Setembro, 5522, Batel - Curitiba/Pr",Aluguel,"R$ 2.800,00","Condomínio R$ 1.350,00","IPTU R$ 242,84",4,1.0,202m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/75041002/apartamento-2-quartos-rubens-bailao-leite-batel-curitiba/,Apartamento 2 Quartos Batel 70m²,"Avenida Sete De Setembro, 4500, Batel - Curitiba/Pr",Aluguel,"R$ 2.800,00","Condomínio R$ 604,00","IPTU R$ 123,87",2,1.0,70m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/66991001/apartamento-3-quartos-edificio-por-do-sol-batel-curitiba/,Apartamento 3 Quartos Batel 226m²,"Avenida Visconde De Guarapuava, 5085, Batel - Curitiba/Pr",Aluguel,"R$ 7.500,00","Condomínio R$ 3.000,00","IPTU R$ 616,26",3,2.0,226m²,1.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/12739002/apartamento-1-quarto-paloma-picasso-bigorrilho-curitiba/,Apartamento 1 Quarto Bigorrilho 23m²,"Rua Padre Anchieta, 1968, Bigorrilho - Curitiba/Pr",Aluguel,"R$ 850,00","Condomínio R$ 500,00","IPTU R$ 41,52",1,0.0,23m²,0.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/16413001/apartamento-3-quartos-edificio-pitagoras-bigorrilho-curitiba/,Apartamento 3 Quartos Bigorrilho 215m²,"Rua Euclides Da Cunha, 1150, Bigorrilho - Curitiba/Pr",Aluguel,"R$ 6.800,00","Condomínio R$ 1.972,86","IPTU R$ 645,01",3,4.0,215m²,3.0,,2023-11-05,gonzaga_imoveis
https://gonzagaimoveis.com.br/imovel/91407002/apartamento-3-quartos-placido-antonio-simeoni-bigorrilho-curitiba/,Apartamento 3 Quartos Bigorrilho 90m²,"Alameda Augusto Stellfeld, 1702, Bigorrilho - Curitiba/Pr",Aluguel,"R$ 2.400,00","Condomínio R$ 650,00","IPTU R$ 101,56",3,1.0,90m²,1.0,,2023-11-05,gonzaga_imoveis
